text,label
email support@company.com,send_email
write my name,type_text
close the software,close_application
launch vscode,open_application
close the window,close_application
search for python tutorials,search_web
unmute,adjust_volume
close photoshop,close_application
email the team about updates,send_email
google something for me,search_web
terminate the app,close_application
compose message to client,send_email
current date,get_current_date
run cmd,open_application
search for healthy recipes,search_web
draft a message,send_email
capture what's on screen,take_screenshot
write to alice@company.com,send_email
hit backspace,press_key
today's date please,get_current_date
what's today,get_current_date
quit this program,close_application
stop the application,close_application
capture screen contents,take_screenshot
understand what's displayed,read_screen
create email for team@company.com,send_email
read what's on the screen,read_screen
grab a screenshot,take_screenshot
how's the weather in Paris,get_weather
shut down the app,close_application
present time,get_current_time
what day is it today,get_current_date
open up discord,open_application
snap the screen,take_screenshot
open report.pdf,open_file
interpret what's shown,read_screen
load that document,open_file
email bob@example.com about project,send_email
give me the time,get_current_time
press end key,press_key
push escape,press_key
press caps lock,press_key
google search for,search_web
google cheapest flights,search_web
mute the audio,adjust_volume
input the details,type_text
view report.pdf,open_file
start the calculator app,open_application
analyze screen content,read_screen
tell me today's forecast,get_weather
input my address,type_text
compose email message,send_email
search for information on,search_web
can you lower the volume,adjust_volume
can you increase the volume,adjust_volume
please put the volume up,adjust_volume
please put the volume down,adjust_volume
make it quieter,adjust_volume
make it louder,adjust_volume
reduce sound level,adjust_volume
raise sound level,adjust_volume
sound up,adjust_volume
sound down,adjust_volume
lower sound,adjust_volume
increase sound,adjust_volume
turn audio up,adjust_volume
turn audio down,adjust_volume
volume higher please,adjust_volume
volume lower please,adjust_volume
press backspace,press_key
hit backspace key,press_key
press enter key,press_key
push enter button,press_key
press escape key,press_key
hit esc key,press_key
press the ctrl key,press_key
press alt key,press_key
push control key,press_key
press shift key,press_key
hit the shift button,press_key
push tab button,press_key
press caps lock,press_key
turn on caps lock,press_key
push function key,press_key
type black,type_text
write black,type_text
input black,type_text
enter black,type_text
please type black,type_text
type the word black,type_text
write hello there,type_text
input my name,type_text
type out this sentence,type_text
type quick brown fox,type_text
write sample text,type_text
input command,type_text
enter some text,type_text
please write this,type_text
scroll down by 2000 units,scroll_mouse
scroll up 1500,scroll_mouse
please scroll down,scroll_mouse
move the page up 3000,scroll_mouse
scroll the window up,scroll_mouse
scroll it down slowly,scroll_mouse
scroll the screen down by 1000,scroll_mouse
move down on the page,scroll_mouse
scroll back to top,scroll_mouse
scroll all the way down,scroll_mouse
left click,click_mouse
right click,click_mouse
perform a left click,click_mouse
click the left mouse button,click_mouse
click on the screen,click_mouse
please click here,click_mouse
click the button,click_mouse
do a right click,click_mouse
open context menu with right click,click_mouse
double click,click_mouse
move cursor to 100 200,move_cursor
move the mouse to the top right,move_cursor
move my cursor to 500 500,move_cursor
place cursor at 300 300,move_cursor
move mouse here,move_cursor
set cursor position to 400 600,move_cursor
move the cursor down,move_cursor
bring cursor to bottom left,move_cursor
move it to center,move_cursor
move mouse pointer,move_cursor
get my cursor position,get_cursor_position
where is the cursor,get_cursor_position
tell me cursor location,get_cursor_position
find current mouse position,get_cursor_position
what is my mouse location,get_cursor_position
report cursor coordinates,get_cursor_position
where's the mouse right now,get_cursor_position
get mouse position,get_cursor_position
show cursor location,get_cursor_position
tell me the mouse coordinates,get_cursor_position
what's my screen size,get_screen_size
tell me screen resolution,get_screen_size
get display dimensions,get_screen_size
how big is my screen,get_screen_size
what is my display size,get_screen_size
report screen width and height,get_screen_size
show screen resolution,get_screen_size
tell me monitor size,get_screen_size
get my screen dimensions,get_screen_size
display screen resolution,get_screen_size
run dir in terminal,run_command
execute ls -la,run_command
run the command ipconfig,run_command
please run ping google.com,run_command
execute a shell command,run_command
open powershell and run dir,run_command
run shutdown now,run_command
start cmd and type whoami,run_command
run command line command,run_command
run clear in terminal,run_command
start a mock technical interview for amazon,start_interview_session
begin a mock behavioral interview for google,start_interview_session
start a mock interview for meta,start_interview_session
launch a mock behavioral and technical interview,start_interview_session
begin an amazon mock interview,start_interview_session
start technical interview session,start_interview_session
start behavioral interview session,start_interview_session
initiate mock interview,start_interview_session
please start an interview session,start_interview_session
begin mock interview session,start_interview_session
next question please,get_next_question
give me the next interview question,get_next_question
what's the next question,get_next_question
next one,get_next_question
continue with the next question,get_next_question
please ask the next question,get_next_question
next prompt,get_next_question
proceed to next question,get_next_question
ask me the next question,get_next_question
move to next question,get_next_question
set my resume path,set_resume_path
set resume to /documents/resume.pdf,set_resume_path
define my resume location,set_resume_path
upload my resume,set_resume_path
set the path for my resume,set_resume_path
input my resume file,set_resume_path
update resume path,set_resume_path
load my resume document,set_resume_path
choose resume file,set_resume_path
save my resume path,set_resume_path
tell about yourself,tell_about_yourself
answer tell me about yourself,tell_about_yourself
respond to tell me about yourself,tell_about_yourself
how do you answer tell about yourself,tell_about_yourself
reply to tell about yourself question,tell_about_yourself
simulate tell about yourself answer,tell_about_yourself
give me tell about yourself response,tell_about_yourself
what's your tell about yourself answer,tell_about_yourself
mock answer for tell about yourself,tell_about_yourself
interview question tell about yourself,tell_about_yourself
evaluate my interview answers,evaluate_interview
score my responses,evaluate_interview
give feedback on my interview,evaluate_interview
assess my answers,evaluate_interview
rate my mock interview,evaluate_interview
review my responses,evaluate_interview
provide feedback on answers,evaluate_interview
evaluate my performance,evaluate_interview
analyze my interview,evaluate_interview
grade my interview session,evaluate_interview
check my code solution,check_code_solution
review this code,check_code_solution
is my code correct,check_code_solution
analyze my code answer,check_code_solution
evaluate my code submission,check_code_solution
give feedback on code,check_code_solution
check solution for correctness,check_code_solution
validate my code,check_code_solution
please review my code,check_code_solution
verify my code answer,check_code_solution
